surface,method,path,sample_index,latency_ms,http_status
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,16,887.135,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,17,721.951,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,18,492.411,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,19,497.625,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,20,351.755,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,21,528.704,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,22,368.954,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,23,369.225,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,24,532.586,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,25,612.926,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,26,607.281,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,27,595.202,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,28,948.601,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,29,469.159,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,30,397.507,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,31,594.145,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,32,462.141,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,33,799.418,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,34,552.724,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,35,614.637,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,36,569.554,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,37,556.601,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,38,614.329,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,39,614.17,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,40,388.199,429
application submit,POST,/api/v1/applications/c0ac1753-0905-44e7-ad6b-91fa137d0083/submit/,41,393.242,429
